session_id,task_id,model,domain,difficulty,source,tool_selected,tool_correct,final_correct,cost,input_tokens,output_tokens,steps
bl_deepseek_v3_ecommerce_s1_0097_fec30e,ecommerce_s1_0097,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00026305,135,206,2
bl_deepseek_v3_ecommerce_s1_0094_d311a0,ecommerce_s1_0094,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.0008090500000000001,1595,344,11
bl_deepseek_v3_ecommerce_s1_0098_40a30d,ecommerce_s1_0098,deepseek_v3,ecommerce,medium,synthetic,,False,True,0.00016523000000000002,119,121,2
bl_deepseek_v3_ecommerce_s1_0096_549e52,ecommerce_s1_0096,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00051077,861,253,8
bl_deepseek_v3_ecommerce_s1_0099_21332f,ecommerce_s1_0099,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00047109,877,213,8
bl_deepseek_v3_ecommerce_s1_0100_35c4a8,ecommerce_s1_0100,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00033910000000000006,160,269,2
bl_deepseek_v3_ecommerce_s1_0095_857892,ecommerce_s1_0095,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00102504,2232,384,15
bl_deepseek_v3_ecommerce_s1_0103_1d8cbc,ecommerce_s1_0103,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.000283,160,218,2
bl_deepseek_v3_ecommerce_s1_0102_f3e490,ecommerce_s1_0102,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00038181000000000006,143,312,2
bl_deepseek_v3_ecommerce_s1_0104_a3b6be,ecommerce_s1_0104,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00025479,137,198,2
bl_deepseek_v3_ecommerce_s1_0101_ddc209,ecommerce_s1_0101,deepseek_v3,ecommerce,hard,synthetic,get_product,True,False,0.00064795,1365,254,11
bl_deepseek_v3_ecommerce_s1_0108_2d95be,ecommerce_s1_0108,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00028061000000000004,143,220,2
bl_deepseek_v3_ecommerce_s1_0105_979f6e,ecommerce_s1_0105,deepseek_v3,ecommerce,hard,synthetic,,False,False,0.00040794000000000003,142,336,2
bl_deepseek_v3_ecommerce_s1_0109_5ae7e5,ecommerce_s1_0109,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.0002841,160,219,2
bl_deepseek_v3_ecommerce_s1_0110_74acfd,ecommerce_s1_0110,deepseek_v3,ecommerce,hard,synthetic,,False,False,0.00030896000000000005,138,247,2
bl_deepseek_v3_ecommerce_s1_0112_a2dd3c,ecommerce_s1_0112,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00028877,161,223,2
bl_deepseek_v3_ecommerce_s1_0106_67261f,ecommerce_s1_0106,deepseek_v3,ecommerce,hard,synthetic,,False,False,0.00029674000000000004,162,230,2
bl_deepseek_v3_ecommerce_s1_0107_968159,ecommerce_s1_0107,deepseek_v3,ecommerce,hard,synthetic,get_product,True,False,0.0006589100000000001,1373,262,11
bl_deepseek_v3_ecommerce_s1_0113_d4b4d5,ecommerce_s1_0113,deepseek_v3,ecommerce,hard,synthetic,,False,False,0.00027239,137,214,2
bl_deepseek_v3_ecommerce_s1_0111_1fab64,ecommerce_s1_0111,deepseek_v3,ecommerce,hard,synthetic,,False,False,0.00032104000000000003,142,257,2
bl_deepseek_v3_ecommerce_s1_0117_56db35,ecommerce_s1_0117,deepseek_v3,ecommerce,hard,synthetic,,False,False,0.00029134,142,230,2
bl_deepseek_v3_ecommerce_s1_0116_c1c3b3,ecommerce_s1_0116,deepseek_v3,ecommerce,hard,synthetic,get_product,True,False,0.00059026,1298,218,11
bl_deepseek_v3_ecommerce_s1_0115_f4189e,ecommerce_s1_0115,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00033910000000000006,160,269,2
bl_deepseek_v3_ecommerce_s1_0119_e34120,ecommerce_s1_0119,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00032628999999999997,137,263,2
bl_deepseek_v3_ecommerce_s1_0121_bbc808,ecommerce_s1_0121,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.000283,160,218,2
bl_deepseek_v3_ecommerce_s1_0114_8002a5,ecommerce_s1_0114,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00049621,143,416,2
bl_deepseek_v3_ecommerce_s1_0118_4406c8,ecommerce_s1_0118,deepseek_v3,ecommerce,hard,synthetic,search_products,True,False,0.00064798,1524,215,11
bl_deepseek_v3_ecommerce_s1_0123_e08091,ecommerce_s1_0123,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00029298,144,231,2
bl_deepseek_v3_ecommerce_s1_0120_f9d855,ecommerce_s1_0120,deepseek_v3,ecommerce,hard,synthetic,,False,False,0.00032874,142,264,2
bl_deepseek_v3_ecommerce_s1_0124_fbb8f2,ecommerce_s1_0124,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.0005492,160,460,2
bl_deepseek_v3_ecommerce_s1_0126_609e26,ecommerce_s1_0126,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00027401,143,214,2
bl_deepseek_v3_ecommerce_s1_0127_e8689c,ecommerce_s1_0127,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.0002709,160,207,2
bl_deepseek_v3_ecommerce_s1_0125_6068bb,ecommerce_s1_0125,deepseek_v3,ecommerce,hard,synthetic,get_product,True,False,0.00067411,1413,266,11
bl_gemini_20_flash_ecommerce_s1_0030_d252ec,ecommerce_s1_0030,gemini_20_flash,ecommerce,easy,synthetic,,False,True,3.0400000000000004e-05,120,46,2
bl_gemini_20_flash_ecommerce_s1_0031_1f5bdd,ecommerce_s1_0031,gemini_20_flash,ecommerce,easy,synthetic,,False,False,4.8200000000000006e-05,126,89,2
bl_deepseek_v3_ecommerce_s1_0122_00b879,ecommerce_s1_0122,deepseek_v3,ecommerce,hard,synthetic,get_product,True,False,0.0007007600000000001,1418,289,11
bl_gemini_20_flash_ecommerce_s1_0032_8ed402,ecommerce_s1_0032,gemini_20_flash,ecommerce,easy,synthetic,,False,True,3.68e-05,124,61,2
bl_gemini_20_flash_ecommerce_s1_0033_ff3da3,ecommerce_s1_0033,gemini_20_flash,ecommerce,easy,synthetic,,False,True,3.8100000000000005e-05,125,64,2
bl_gemini_20_flash_ecommerce_s1_0034_8c7a5c,ecommerce_s1_0034,gemini_20_flash,ecommerce,easy,synthetic,,False,True,4.910000000000001e-05,143,87,2
bl_gemini_20_flash_ecommerce_s1_0035_3d3596,ecommerce_s1_0035,gemini_20_flash,ecommerce,easy,synthetic,,False,True,3.0400000000000004e-05,120,46,2
bl_gemini_20_flash_ecommerce_s1_0036_9fd354,ecommerce_s1_0036,gemini_20_flash,ecommerce,easy,synthetic,,False,False,5.2600000000000005e-05,126,100,2
bl_gemini_20_flash_ecommerce_s1_0037_b2fe3a,ecommerce_s1_0037,gemini_20_flash,ecommerce,easy,synthetic,,False,True,8.12e-05,124,172,2
bl_deepseek_v3_ecommerce_s1_0129_14a0cf,ecommerce_s1_0129,deepseek_v3,ecommerce,hard,synthetic,,False,True,0.00035788,144,290,2
bl_gemini_20_flash_ecommerce_s1_0039_f9b947,ecommerce_s1_0039,gemini_20_flash,ecommerce,easy,synthetic,,False,True,5.000000000000001e-05,144,89,2
bl_gemini_20_flash_ecommerce_s1_0038_459264,ecommerce_s1_0038,gemini_20_flash,ecommerce,easy,synthetic,,False,True,8.05e-05,125,170,2
bl_gemini_20_flash_ecommerce_s1_0040_647b64,ecommerce_s1_0040,gemini_20_flash,ecommerce,easy,synthetic,,False,True,3.08e-05,120,47,2
bl_gemini_20_flash_ecommerce_s1_0041_af2705,ecommerce_s1_0041,gemini_20_flash,ecommerce,easy,synthetic,,False,False,3.86e-05,126,65,2
bl_gemini_20_flash_ecommerce_s1_0044_ede1f4,ecommerce_s1_0044,gemini_20_flash,ecommerce,easy,synthetic,,False,True,4.910000000000001e-05,143,87,2
bl_gemini_20_flash_ecommerce_s1_0043_cd9656,ecommerce_s1_0043,gemini_20_flash,ecommerce,easy,synthetic,,False,True,8.090000000000001e-05,125,171,2
bl_gemini_20_flash_ecommerce_s1_0042_a4e166,ecommerce_s1_0042,gemini_20_flash,ecommerce,easy,synthetic,,False,True,0.00010240000000000001,124,225,2
bl_gemini_20_flash_ecommerce_s1_0045_127b4d,ecommerce_s1_0045,gemini_20_flash,ecommerce,easy,synthetic,,False,True,3e-05,120,45,2
bl_gemini_20_flash_ecommerce_s1_0046_8275ee,ecommerce_s1_0046,gemini_20_flash,ecommerce,easy,synthetic,,False,False,4.66e-05,126,85,2
bl_gemini_20_flash_ecommerce_s1_0049_f7ae74,ecommerce_s1_0049,gemini_20_flash,ecommerce,easy,synthetic,,False,True,4.9500000000000004e-05,143,88,2
bl_gemini_20_flash_ecommerce_s1_0047_3f7f53,ecommerce_s1_0047,gemini_20_flash,ecommerce,easy,synthetic,,False,True,0.00010400000000000001,124,229,2
bl_gemini_20_flash_ecommerce_s1_0048_eabf80,ecommerce_s1_0048,gemini_20_flash,ecommerce,easy,synthetic,,False,True,8.690000000000001e-05,125,186,2
bl_gemini_20_flash_ecommerce_s1_0051_c47185,ecommerce_s1_0051,gemini_20_flash,ecommerce,medium,synthetic,,False,False,5.950000000000001e-05,151,111,2
bl_gemini_20_flash_ecommerce_s1_0052_bad4a2,ecommerce_s1_0052,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.2e-05,152,167,2
bl_gemini_20_flash_ecommerce_s1_0053_4dbc09,ecommerce_s1_0053,gemini_20_flash,ecommerce,medium,synthetic,,False,False,6.81e-05,129,138,2
bl_gemini_20_flash_ecommerce_s1_0054_d60c3c,ecommerce_s1_0054,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.670000000000001e-05,151,154,2
bl_gemini_20_flash_ecommerce_s1_0055_19e946,ecommerce_s1_0055,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.48e-05,152,149,2
bl_gemini_20_flash_ecommerce_s1_0050_4def0e,ecommerce_s1_0050,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.0002797,1501,324,11
bl_gemini_20_flash_ecommerce_s1_0057_42ba3d,ecommerce_s1_0057,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.63e-05,151,153,2
bl_gemini_20_flash_ecommerce_s1_0058_381172,ecommerce_s1_0058,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.16e-05,152,141,2
bl_gemini_20_flash_ecommerce_s1_0056_cf098f,ecommerce_s1_0056,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.00030060000000000004,1930,269,11
bl_gemini_20_flash_ecommerce_s1_0060_aaf456,ecommerce_s1_0060,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.72e-05,152,155,2
bl_gemini_20_flash_ecommerce_s1_0061_b56ec3,ecommerce_s1_0061,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.32e-05,152,170,2
bl_gemini_20_flash_ecommerce_s1_0063_0199fb,ecommerce_s1_0063,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.83e-05,151,158,2
bl_deepseek_v3_ecommerce_s1_0128_e45677,ecommerce_s1_0128,deepseek_v3,ecommerce,hard,synthetic,get_product,True,False,0.00066045,1395,258,11
bl_gemini_20_flash_ecommerce_s1_0059_c9946e,ecommerce_s1_0059,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.0005079,3515,391,14
bl_gemini_20_flash_ecommerce_s1_0062_d87095,ecommerce_s1_0062,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.0003507,2359,287,15
bl_gemini_20_flash_ecommerce_s1_0065_d13e10,ecommerce_s1_0065,gemini_20_flash,ecommerce,medium,synthetic,,False,False,6.69e-05,129,135,2
bl_gemini_20_flash_ecommerce_s1_0064_b39076,ecommerce_s1_0064,gemini_20_flash,ecommerce,medium,synthetic,,False,False,0.00010480000000000001,152,224,2
bl_gemini_20_flash_ecommerce_s1_0066_b816db,ecommerce_s1_0066,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.670000000000001e-05,151,154,2
bl_gemini_20_flash_ecommerce_s1_0067_428863,ecommerce_s1_0067,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.480000000000001e-05,152,174,2
bl_gemini_20_flash_ecommerce_s1_0069_fa3af8,ecommerce_s1_0069,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.510000000000001e-05,151,150,2
bl_gemini_20_flash_ecommerce_s1_0070_98a694,ecommerce_s1_0070,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.52e-05,152,150,2
bl_gemini_20_flash_ecommerce_s1_0072_5079c8,ecommerce_s1_0072,gemini_20_flash,ecommerce,medium,synthetic,,False,False,0.0001211,151,265,2
bl_gemini_20_flash_ecommerce_s1_0073_874f0d,ecommerce_s1_0073,gemini_20_flash,ecommerce,medium,synthetic,,False,False,0.00010520000000000001,152,225,2
bl_gemini_20_flash_ecommerce_s1_0068_2b4e54,ecommerce_s1_0068,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.000393,2922,252,15
bl_gemini_20_flash_ecommerce_s1_0071_a3e1c4,ecommerce_s1_0071,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.000268,1456,306,11
bl_gemini_20_flash_ecommerce_s1_0075_21b447,ecommerce_s1_0075,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.510000000000001e-05,151,150,2
bl_gemini_20_flash_ecommerce_s1_0076_076495,ecommerce_s1_0076,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.480000000000001e-05,152,174,2
bl_gemini_20_flash_ecommerce_s1_0077_a6a0d9,ecommerce_s1_0077,gemini_20_flash,ecommerce,medium,synthetic,,False,False,4.8500000000000007e-05,129,89,2
bl_gemini_20_flash_ecommerce_s1_0078_784847,ecommerce_s1_0078,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.92e-05,152,160,2
bl_gemini_20_flash_ecommerce_s1_0079_9dd7d5,ecommerce_s1_0079,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.49e-05,153,149,2
bl_gemini_20_flash_ecommerce_s1_0074_e6b69e,ecommerce_s1_0074,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.0003114,1566,387,11
bl_gemini_20_flash_ecommerce_s1_0081_ca83c2,ecommerce_s1_0081,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.92e-05,152,160,2
bl_gemini_20_flash_ecommerce_s1_0084_c2502b,ecommerce_s1_0084,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.52e-05,152,150,2
bl_gemini_20_flash_ecommerce_s1_0082_42db83,ecommerce_s1_0082,gemini_20_flash,ecommerce,medium,synthetic,,False,False,0.00012000000000000002,152,262,2
bl_gemini_20_flash_ecommerce_s1_0083_33736a,ecommerce_s1_0083,gemini_20_flash,ecommerce,medium,synthetic,,False,False,6.85e-05,129,139,2
bl_gemini_20_flash_ecommerce_s1_0080_6e06ff,ecommerce_s1_0080,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.0002684,1464,305,11
bl_gemini_20_flash_ecommerce_s1_0086_76cef0,ecommerce_s1_0086,gemini_20_flash,ecommerce,medium,synthetic,,False,False,6.97e-05,129,142,2
bl_gemini_20_flash_ecommerce_s1_0085_6a6f76,ecommerce_s1_0085,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.680000000000001e-05,152,179,2
bl_gemini_20_flash_ecommerce_s1_0087_1b9f62,ecommerce_s1_0087,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.670000000000001e-05,151,154,2
bl_gemini_20_flash_ecommerce_s1_0088_5cc066,ecommerce_s1_0088,gemini_20_flash,ecommerce,medium,synthetic,,False,False,0.00010360000000000001,152,221,2
bl_gemini_20_flash_ecommerce_s1_0090_13fcc8,ecommerce_s1_0090,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.670000000000001e-05,151,154,2
bl_gemini_20_flash_ecommerce_s1_0091_ed0c5e,ecommerce_s1_0091,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.32e-05,152,170,2
bl_gemini_20_flash_ecommerce_s1_0093_b235f4,ecommerce_s1_0093,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.800000000000001e-05,152,157,2
bl_gemini_20_flash_ecommerce_s1_0094_a19366,ecommerce_s1_0094,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.32e-05,152,170,2
bl_gemini_20_flash_ecommerce_s1_0089_774059,ecommerce_s1_0089,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.00046100000000000004,3454,289,15
bl_gemini_20_flash_ecommerce_s1_0096_93cd12,ecommerce_s1_0096,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.72e-05,152,155,2
bl_gemini_20_flash_ecommerce_s1_0095_24e8f1,ecommerce_s1_0095,gemini_20_flash,ecommerce,medium,synthetic,,False,False,8.450000000000001e-05,129,179,2
bl_gemini_20_flash_ecommerce_s1_0092_86d2aa,ecommerce_s1_0092,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.00044629999999999995,3395,267,15
bl_gemini_20_flash_ecommerce_s1_0097_db71ec,ecommerce_s1_0097,gemini_20_flash,ecommerce,medium,synthetic,,False,False,7.760000000000002e-05,152,156,2
bl_gemini_20_flash_ecommerce_s1_0099_249f4c,ecommerce_s1_0099,gemini_20_flash,ecommerce,medium,synthetic,get_product,True,False,0.0001464,912,138,8
bl_gemini_20_flash_ecommerce_s1_0101_b87b0d,ecommerce_s1_0101,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010410000000000001,157,221,2
bl_gemini_20_flash_ecommerce_s1_0100_162b26,ecommerce_s1_0100,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001363,179,296,2
bl_gemini_20_flash_ecommerce_s1_0098_6877b6,ecommerce_s1_0098,gemini_20_flash,ecommerce,medium,synthetic,search_products,True,False,0.00026600000000000007,1464,299,11
bl_gemini_20_flash_ecommerce_s1_0103_bcdfc0,ecommerce_s1_0103,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001159,179,245,2
bl_gemini_20_flash_ecommerce_s1_0102_35fcc6,ecommerce_s1_0102,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001315,163,288,2
bl_gemini_20_flash_ecommerce_s1_0104_7efa98,ecommerce_s1_0104,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010650000000000001,157,227,2
bl_gemini_20_flash_ecommerce_s1_0106_65456a,ecommerce_s1_0106,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00011520000000000001,180,243,2
bl_gemini_20_flash_ecommerce_s1_0107_5b38cb,ecommerce_s1_0107,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001269,157,278,2
bl_gemini_20_flash_ecommerce_s1_0108_f018b4,ecommerce_s1_0108,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010870000000000001,163,231,2
bl_gemini_20_flash_ecommerce_s1_0110_551e82,ecommerce_s1_0110,gemini_20_flash,ecommerce,hard,synthetic,,False,True,8.410000000000001e-05,157,171,2
bl_gemini_20_flash_ecommerce_s1_0109_46dea9,ecommerce_s1_0109,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001339,179,290,2
bl_gemini_20_flash_ecommerce_s1_0111_b2255b,ecommerce_s1_0111,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001083,163,230,2
bl_gemini_20_flash_ecommerce_s1_0105_160194,ecommerce_s1_0105,gemini_20_flash,ecommerce,hard,synthetic,search_products,True,False,0.0004821,3157,416,15
bl_gemini_20_flash_ecommerce_s1_0112_a4525d,ecommerce_s1_0112,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00011880000000000001,180,252,2
bl_gemini_20_flash_ecommerce_s1_0114_5964cc,ecommerce_s1_0114,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010910000000000001,163,232,2
bl_gemini_20_flash_ecommerce_s1_0113_b5ed9e,ecommerce_s1_0113,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00013730000000000003,157,304,2
bl_gemini_20_flash_ecommerce_s1_0115_d399c3,ecommerce_s1_0115,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00011670000000000002,179,247,2
bl_gemini_20_flash_ecommerce_s1_0116_7e0d8e,ecommerce_s1_0116,gemini_20_flash,ecommerce,hard,synthetic,,False,False,9.89e-05,157,208,2
bl_gemini_20_flash_ecommerce_s1_0117_827112,ecommerce_s1_0117,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010390000000000002,163,219,2
bl_gemini_20_flash_ecommerce_s1_0118_77bde6,ecommerce_s1_0118,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001139,179,240,2
bl_gemini_20_flash_ecommerce_s1_0119_281c6f,ecommerce_s1_0119,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00014250000000000002,157,317,2
bl_gemini_20_flash_ecommerce_s1_0120_64040a,ecommerce_s1_0120,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010510000000000002,163,222,2
bl_gemini_20_flash_ecommerce_s1_0121_95d545,ecommerce_s1_0121,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010550000000000002,179,219,2
bl_gemini_20_flash_ecommerce_s1_0122_2e80fc,ecommerce_s1_0122,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001357,157,300,2
bl_gemini_20_flash_ecommerce_s1_0123_1300e8,ecommerce_s1_0123,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010510000000000002,163,222,2
bl_gemini_20_flash_ecommerce_s1_0124_8f33e9,ecommerce_s1_0124,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001179,179,250,2
bl_gemini_20_flash_ecommerce_s1_0125_be9a26,ecommerce_s1_0125,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001261,157,276,2
bl_gemini_20_flash_ecommerce_s1_0126_f2c5ea,ecommerce_s1_0126,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010510000000000002,163,222,2
bl_gemini_20_flash_ecommerce_s1_0127_a7d08d,ecommerce_s1_0127,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00011070000000000001,179,232,2
bl_gemini_20_flash_ecommerce_s1_0128_62be98,ecommerce_s1_0128,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.00010650000000000001,157,227,2
bl_gemini_20_flash_ecommerce_s1_0129_4874f0,ecommerce_s1_0129,gemini_20_flash,ecommerce,hard,synthetic,,False,False,0.0001043,163,220,2
