session_id,task_id,model,domain,difficulty,source,tool_selected,tool_correct,final_correct,cost,input_tokens,output_tokens,steps
bl_gemini_20_flash_calendar_024_f6992f,calendar_024,gemini_20_flash,calendar,easy,synthetic,,False,True,4.08e-05,116,73,2
bl_gemini_20_flash_weather_030_7a56e0,weather_030,gemini_20_flash,weather,easy,synthetic,,False,True,4.84e-05,124,90,2
bl_gemini_20_flash_calendar_023_664090,calendar_023,gemini_20_flash,calendar,easy,synthetic,,False,True,5.4999999999999995e-05,130,105,2
bl_gemini_20_flash_toolbench_syn_0055_83c240,toolbench_syn_0055,gemini_20_flash,weather,hard,toolbench_synthetic,,False,False,3.78e-05,122,64,2
bl_gemini_20_flash_calendar_058_fbe2ee,calendar_058,gemini_20_flash,calendar,medium,synthetic,get_events,True,False,0.0001113,613,125,5
bl_gemini_20_flash_weather_010_3c96b1,weather_010,gemini_20_flash,weather,easy,synthetic,,False,True,5.19e-05,123,99,2
bl_gemini_20_flash_toolbench_syn_0030_934e3f,toolbench_syn_0030,gemini_20_flash,calendar,easy,toolbench_synthetic,,False,True,8.420000000000001e-05,106,184,2
bl_gemini_20_flash_medical_051_d812eb,medical_051,gemini_20_flash,medical,medium,synthetic,,False,True,6.14e-05,122,123,2
bl_gemini_20_flash_toolbench_syn_0006_bca95d,toolbench_syn_0006,gemini_20_flash,weather,medium,toolbench_synthetic,,False,False,3.78e-05,122,64,2
bl_gemini_20_flash_calendar_066_78ea09,calendar_066,gemini_20_flash,calendar,medium,synthetic,get_events,True,False,0.0001013,505,127,5
bl_gemini_20_flash_weather_001_a150dc,weather_001,gemini_20_flash,weather,easy,synthetic,,False,True,6.180000000000001e-05,130,122,2
bl_gemini_20_flash_medical_077_e44284,medical_077,gemini_20_flash,medical,medium,synthetic,,False,False,6.62e-05,122,135,2
bl_gemini_20_flash_medical_072_aea02c,medical_072,gemini_20_flash,medical,medium,synthetic,,False,False,7.53e-05,133,155,2
bl_gemini_20_flash_weather_083_4ab81a,weather_083,gemini_20_flash,weather,medium,synthetic,,False,True,7.730000000000001e-05,141,158,2
bl_gemini_20_flash_halueval_0073_69a431,halueval_0073,gemini_20_flash,knowledge,medium,halueval,,False,False,4.08e-05,212,49,2
bl_gemini_20_flash_toolbench_syn_0047_090d53,toolbench_syn_0047,gemini_20_flash,weather,hard,toolbench_synthetic,,False,False,5.640000000000001e-05,120,111,2
bl_gemini_20_flash_calendar_092_d2f3c0,calendar_092,gemini_20_flash,calendar,medium,synthetic,,False,False,8.269999999999999e-05,139,172,2
bl_gemini_20_flash_toolbench_syn_0019_2b2984,toolbench_syn_0019,gemini_20_flash,medical,easy,toolbench_synthetic,,False,False,4.01e-05,109,73,2
bl_gemini_20_flash_toolbench_syn_0099_631f8d,toolbench_syn_0099,gemini_20_flash,calendar,medium,toolbench_synthetic,,False,False,3.69e-05,117,63,2
bl_gemini_20_flash_calendar_053_483430,calendar_053,gemini_20_flash,calendar,medium,synthetic,,False,False,9.08e-05,152,189,2
bl_gemini_20_flash_medical_060_565f41,medical_060,gemini_20_flash,medical,medium,synthetic,,False,False,7.65e-05,133,158,2
bl_gemini_20_flash_weather_055_bd2086,weather_055,gemini_20_flash,weather,medium,synthetic,,False,True,0.0001107,159,237,2
bl_gemini_20_flash_weather_092_eb900e,weather_092,gemini_20_flash,weather,medium,synthetic,,False,True,7.650000000000002e-05,141,156,2
bl_gemini_20_flash_halueval_0030_7ed951,halueval_0030,gemini_20_flash,knowledge,medium,halueval,,False,False,5.15e-05,235,70,2
bl_gemini_20_flash_medical_057_4315d0,medical_057,gemini_20_flash,medical,medium,synthetic,,False,True,6.36e-05,124,128,2
bl_gemini_20_flash_weather_002_7ae039,weather_002,gemini_20_flash,weather,easy,synthetic,,False,False,5.95e-05,135,115,2
bl_gemini_20_flash_weather_081_18ddf5,weather_081,gemini_20_flash,weather,medium,synthetic,,False,True,6.460000000000001e-05,142,126,2
bl_gemini_20_flash_halueval_0059_2f5756,halueval_0059,gemini_20_flash,knowledge,medium,halueval,,False,False,6.86e-05,254,108,2
bl_gemini_20_flash_medical_023_a3fdb7,medical_023,gemini_20_flash,medical,easy,synthetic,,False,True,6.120000000000001e-05,128,121,2
bl_gemini_20_flash_halueval_0098_b7cd42,halueval_0098,gemini_20_flash,knowledge,hard,halueval,,False,False,5.02e-05,210,73,2
bl_gemini_20_flash_toolbench_syn_0028_8ca881,toolbench_syn_0028,gemini_20_flash,calendar,hard,toolbench_synthetic,,False,False,3.69e-05,117,63,2
bl_gemini_20_flash_halueval_0031_0b3a72,halueval_0031,gemini_20_flash,knowledge,hard,halueval,search_knowledge,True,False,9.45e-05,497,112,5
bl_gemini_20_flash_halueval_0055_bcafa3,halueval_0055,gemini_20_flash,knowledge,medium,halueval,,False,False,4.8200000000000006e-05,238,61,2
bl_gemini_20_flash_halueval_0036_46fefc,halueval_0036,gemini_20_flash,knowledge,medium,halueval,,False,False,4.2e-05,216,51,2
bl_gemini_20_flash_halueval_0004_650b2a,halueval_0004,gemini_20_flash,knowledge,medium,halueval,,False,False,5.56e-05,212,86,2
bl_gemini_20_flash_weather_059_43f391,weather_059,gemini_20_flash,weather,medium,synthetic,,False,True,7.850000000000001e-05,141,161,2
bl_gemini_20_flash_weather_006_2658cb,weather_006,gemini_20_flash,weather,easy,synthetic,,False,True,5.22e-05,130,98,2
bl_gemini_20_flash_medical_084_c161cd,medical_084,gemini_20_flash,medical,medium,synthetic,,False,False,7.719999999999999e-05,132,160,2
bl_gemini_20_flash_calendar_029_1f9cb7,calendar_029,gemini_20_flash,calendar,easy,synthetic,,False,True,4.0400000000000006e-05,116,72,2
bl_gemini_20_flash_medical_071_948c42,medical_071,gemini_20_flash,medical,medium,synthetic,,False,False,6.27e-05,123,126,2
bl_gemini_20_flash_medical_040_6937fb,medical_040,gemini_20_flash,medical,easy,synthetic,,False,True,3.78e-05,110,67,2
bl_gemini_20_flash_halueval_0005_f2c5ad,halueval_0005,gemini_20_flash,knowledge,hard,halueval,,False,False,5.240000000000001e-05,212,78,2
bl_gemini_20_flash_weather_033_315296,weather_033,gemini_20_flash,weather,easy,synthetic,,False,True,4.22e-05,122,75,2
bl_gemini_20_flash_calendar_098_a36816,calendar_098,gemini_20_flash,calendar,medium,synthetic,get_events,True,False,9.75e-05,471,126,5
bl_gemini_20_flash_calendar_096_0cc7d2,calendar_096,gemini_20_flash,calendar,medium,synthetic,get_events,True,False,9.46e-05,462,121,5
bl_gemini_20_flash_halueval_0087_f45d2b,halueval_0087,gemini_20_flash,knowledge,medium,halueval,,False,False,3.9000000000000006e-05,206,46,2
bl_gemini_20_flash_halueval_0058_1f5a2a,halueval_0058,gemini_20_flash,knowledge,hard,halueval,,False,False,6.560000000000001e-05,492,41,3
bl_gemini_20_flash_toolbench_syn_0005_2a30e6,toolbench_syn_0005,gemini_20_flash,calendar,easy,toolbench_synthetic,,False,True,9.38e-05,106,208,2
bl_gemini_20_flash_halueval_0029_909598,halueval_0029,gemini_20_flash,knowledge,hard,halueval,,False,False,6.34e-05,218,104,2
bl_gemini_20_flash_weather_025_f2896e,weather_025,gemini_20_flash,weather,easy,synthetic,,False,True,4.03e-05,123,70,2
bl_gemini_20_flash_weather_079_ba31a0,weather_079,gemini_20_flash,weather,medium,synthetic,,False,False,8.630000000000001e-05,159,176,2
bl_gemini_20_flash_weather_057_b3f148,weather_057,gemini_20_flash,weather,medium,synthetic,,False,True,7.340000000000001e-05,142,148,2
bl_gemini_20_flash_weather_047_28d1dd,weather_047,gemini_20_flash,weather,easy,synthetic,,False,True,4.58e-05,134,81,2
bl_gemini_20_flash_medical_053_7e552f,medical_053,gemini_20_flash,medical,medium,synthetic,,False,True,6.91e-05,123,142,2
bl_gemini_20_flash_medical_061_288c23,medical_061,gemini_20_flash,medical,medium,synthetic,,False,False,5.6800000000000005e-05,120,112,2
bl_gemini_20_flash_toolbench_syn_0086_fd2a95,toolbench_syn_0086,gemini_20_flash,weather,easy,toolbench_synthetic,,False,False,4.02e-05,122,70,2
bl_gemini_20_flash_halueval_0027_e05a6e,halueval_0027,gemini_20_flash,knowledge,medium,halueval,,False,False,5.3200000000000006e-05,212,80,2
bl_gemini_20_flash_weather_071_58a8c5,weather_071,gemini_20_flash,weather,medium,synthetic,,False,True,7.650000000000002e-05,141,156,2
bl_gemini_20_flash_medical_005_cc5f3d,medical_005,gemini_20_flash,medical,easy,synthetic,,False,True,3.78e-05,110,67,2
bl_gemini_20_flash_medical_020_6df137,medical_020,gemini_20_flash,medical,easy,synthetic,,False,True,3.78e-05,110,67,2
bl_gemini_20_flash_medical_099_c4301c,medical_099,gemini_20_flash,medical,medium,synthetic,,False,False,5.8200000000000005e-05,122,115,2
bl_gemini_20_flash_calendar_035_0bee41,calendar_035,gemini_20_flash,calendar,easy,synthetic,,False,True,3.0900000000000006e-05,109,50,2
bl_gemini_20_flash_medical_100_f68635,medical_100,gemini_20_flash,medical,medium,synthetic,,False,False,7.52e-05,132,155,2
bl_gemini_20_flash_medical_076_1f5666,medical_076,gemini_20_flash,medical,medium,synthetic,,False,False,7.8e-05,132,162,2
bl_gemini_20_flash_halueval_0074_16f28c,halueval_0074,gemini_20_flash,knowledge,medium,halueval,,False,False,5.680000000000001e-05,212,89,2
bl_gemini_20_flash_calendar_027_ad92ec,calendar_027,gemini_20_flash,calendar,easy,synthetic,,False,True,3.69e-05,117,63,2
bl_gemini_20_flash_halueval_0041_26a9da,halueval_0041,gemini_20_flash,knowledge,hard,halueval,,False,False,5.86e-05,234,88,2
bl_gemini_20_flash_halueval_0092_388e73,halueval_0092,gemini_20_flash,knowledge,medium,halueval,,False,False,7.38e-05,234,126,2
bl_gemini_20_flash_weather_074_cc4420,weather_074,gemini_20_flash,weather,medium,synthetic,,False,True,9.26e-05,142,196,2
bl_gemini_20_flash_medical_035_1c71f9,medical_035,gemini_20_flash,medical,easy,synthetic,,False,True,3.78e-05,110,67,2
bl_gemini_20_flash_medical_003_d019d4,medical_003,gemini_20_flash,medical,easy,synthetic,,False,True,6.08e-05,128,120,2
bl_gemini_20_flash_medical_056_33b9a5,medical_056,gemini_20_flash,medical,medium,synthetic,,False,False,7.26e-05,134,148,2
bl_gemini_20_flash_toolbench_syn_0076_49368d,toolbench_syn_0076,gemini_20_flash,medical,medium,toolbench_synthetic,,False,False,3.51e-05,111,60,2
bl_gemini_20_flash_toolbench_syn_0035_ceba61,toolbench_syn_0035,gemini_20_flash,calendar,hard,toolbench_synthetic,,False,True,7.340000000000001e-05,106,157,2
bl_gemini_20_flash_toolbench_syn_0080_95d9e6,toolbench_syn_0080,gemini_20_flash,weather,easy,toolbench_synthetic,,False,False,4.22e-05,122,75,2
bl_gemini_20_flash_toolbench_syn_0029_c73d4c,toolbench_syn_0029,gemini_20_flash,calendar,medium,toolbench_synthetic,get_events,False,False,0.0002697,1381,329,11
bl_gemini_20_flash_toolbench_syn_0067_db296b,toolbench_syn_0067,gemini_20_flash,weather,hard,toolbench_synthetic,,False,False,3.64e-05,120,61,2
bl_gemini_20_flash_calendar_009_f59fb0,calendar_009,gemini_20_flash,calendar,easy,synthetic,,False,True,4.08e-05,116,73,2
bl_gemini_20_flash_medical_091_48bf5d,medical_091,gemini_20_flash,medical,medium,synthetic,,False,False,7.000000000000001e-05,124,144,2
bl_gemini_20_flash_weather_034_372ddf,weather_034,gemini_20_flash,weather,easy,synthetic,,False,True,7.1e-05,138,143,2
bl_gemini_20_flash_medical_006_0d6d46,medical_006,gemini_20_flash,medical,easy,synthetic,,False,True,4.220000000000001e-05,110,78,2
bl_gemini_20_flash_calendar_038_c4189c,calendar_038,gemini_20_flash,calendar,easy,synthetic,,False,True,7.02e-05,130,143,2
bl_gemini_20_flash_halueval_0082_447b29,halueval_0082,gemini_20_flash,knowledge,hard,halueval,,False,False,4.39e-05,215,56,2
bl_gemini_20_flash_calendar_062_6991e9,calendar_062,gemini_20_flash,calendar,medium,synthetic,,False,False,8.269999999999999e-05,139,172,2
bl_gemini_20_flash_calendar_018_287f3a,calendar_018,gemini_20_flash,calendar,easy,synthetic,,False,True,5.42e-05,130,103,2
bl_gemini_20_flash_weather_029_d5c1e3,weather_029,gemini_20_flash,weather,easy,synthetic,,False,True,5.98e-05,138,115,2
bl_gemini_20_flash_toolbench_syn_0050_db010e,toolbench_syn_0050,gemini_20_flash,calendar,hard,toolbench_synthetic,,False,True,7.570000000000001e-05,113,161,2
bl_gemini_20_flash_halueval_0067_617493,halueval_0067,gemini_20_flash,knowledge,hard,halueval,,False,False,5.35e-05,211,81,2
bl_gemini_20_flash_calendar_067_aadf86,calendar_067,gemini_20_flash,calendar,medium,synthetic,,False,True,0.00013,152,287,2
bl_gemini_20_flash_halueval_0099_685bf8,halueval_0099,gemini_20_flash,knowledge,medium,halueval,,False,False,3.72e-05,220,38,2
bl_gemini_20_flash_medical_086_ff41bb,medical_086,gemini_20_flash,medical,medium,synthetic,,False,False,8.48e-05,132,179,2
bl_gemini_20_flash_calendar_039_671583,calendar_039,gemini_20_flash,calendar,easy,synthetic,,False,True,3.52e-05,116,59,2
bl_gemini_20_flash_toolbench_syn_0052_e82b9c,toolbench_syn_0052,gemini_20_flash,calendar,medium,toolbench_synthetic,,False,True,8.420000000000001e-05,106,184,2
bl_gemini_20_flash_halueval_0063_fba6a9,halueval_0063,gemini_20_flash,knowledge,medium,halueval,,False,False,6.890000000000001e-05,233,114,2
bl_gemini_20_flash_halueval_0009_4e54d2,halueval_0009,gemini_20_flash,knowledge,hard,halueval,,False,False,4.7e-05,222,62,2
bl_gemini_20_flash_medical_037_eb8478,medical_037,gemini_20_flash,medical,easy,synthetic,,False,False,5.73e-05,113,115,2
bl_gemini_20_flash_halueval_0094_c43a36,halueval_0094,gemini_20_flash,knowledge,hard,halueval,,False,False,3.7300000000000005e-05,221,38,2
bl_gemini_20_flash_halueval_0038_519bcc,halueval_0038,gemini_20_flash,knowledge,hard,halueval,,False,False,8.700000000000001e-05,282,147,2
bl_gemini_20_flash_medical_074_48441e,medical_074,gemini_20_flash,medical,medium,synthetic,,False,False,7.410000000000001e-05,133,152,2
bl_gemini_20_flash_weather_088_423426,weather_088,gemini_20_flash,weather,medium,synthetic,,False,True,0.0001010999999999,159,213,2
bl_gemini_20_flash_toolbench_syn_0011_a487db,toolbench_syn_0011,gemini_20_flash,weather,medium,toolbench_synthetic,,False,False,3.56e-05,120,59,2
bl_gemini_20_flash_halueval_0011_add665,halueval_0011,gemini_20_flash,knowledge,hard,halueval,,False,False,7.92e-05,488,76,3
bl_gemini_20_flash_weather_037_66604c,weather_037,gemini_20_flash,weather,easy,synthetic,,False,False,5.9e-05,134,114,2
bl_gemini_20_flash_toolbench_syn_0049_969b5c,toolbench_syn_0049,gemini_20_flash,calendar,medium,toolbench_synthetic,,False,True,4.8200000000000006e-05,114,92,2
bl_gemini_20_flash_toolbench_syn_0031_57a035,toolbench_syn_0031,gemini_20_flash,calendar,hard,toolbench_synthetic,,False,True,6.66e-05,106,140,2
bl_gemini_20_flash_halueval_0070_763d8b,halueval_0070,gemini_20_flash,knowledge,medium,halueval,,False,False,3.4e-05,252,22,2
bl_gemini_20_flash_calendar_037_cf3577,calendar_037,gemini_20_flash,calendar,easy,synthetic,,False,True,3.69e-05,117,63,2
bl_gemini_20_flash_toolbench_syn_0043_217154,toolbench_syn_0043,gemini_20_flash,weather,medium,toolbench_synthetic,,False,False,3.64e-05,120,61,2
bl_gemini_20_flash_calendar_008_ae586a,calendar_008,gemini_20_flash,calendar,easy,synthetic,,False,True,5.53e-05,133,105,2
bl_gemini_20_flash_calendar_082_2fac3a,calendar_082,gemini_20_flash,calendar,medium,synthetic,,False,False,9.66e-05,138,207,2
bl_gemini_20_flash_calendar_090_e3643d,calendar_090,gemini_20_flash,calendar,medium,synthetic,,False,False,8.31e-05,139,173,2
bl_gemini_20_flash_weather_084_345525,weather_084,gemini_20_flash,weather,medium,synthetic,,False,True,6.460000000000001e-05,142,126,2
bl_gemini_20_flash_toolbench_syn_0025_bcc396,toolbench_syn_0025,gemini_20_flash,medical,medium,toolbench_synthetic,,False,True,4.31e-05,111,80,2
bl_gemini_20_flash_medical_033_645586,medical_033,gemini_20_flash,medical,easy,synthetic,,False,True,4.93e-05,129,91,2
bl_gemini_20_flash_calendar_087_deb569,calendar_087,gemini_20_flash,calendar,medium,synthetic,,False,True,8.72e-05,152,180,2
bl_gemini_20_flash_halueval_0054_7a1ff6,halueval_0054,gemini_20_flash,knowledge,hard,halueval,,False,False,5.3200000000000006e-05,212,80,2
bl_gemini_20_flash_halueval_0047_9a8b3b,halueval_0047,gemini_20_flash,knowledge,hard,halueval,,False,False,4.22e-05,234,47,2
bl_gemini_20_flash_halueval_0078_67585d,halueval_0078,gemini_20_flash,knowledge,hard,halueval,,False,False,5.58e-05,218,85,2
bl_gemini_20_flash_halueval_0044_bbab67,halueval_0044,gemini_20_flash,knowledge,medium,halueval,,False,False,7.82e-05,234,137,2
bl_gemini_20_flash_weather_052_0938f3,weather_052,gemini_20_flash,weather,medium,synthetic,,False,True,0.0001324,160,291,2
bl_gemini_20_flash_calendar_049_293e01,calendar_049,gemini_20_flash,calendar,easy,synthetic,,False,True,3.76e-05,116,65,2
bl_gemini_20_flash_toolbench_syn_0095_04d1b2,toolbench_syn_0095,gemini_20_flash,calendar,easy,toolbench_synthetic,,False,False,3.65e-05,117,62,2
bl_gemini_20_flash_calendar_017_2a59b7,calendar_017,gemini_20_flash,calendar,easy,synthetic,,False,True,3.69e-05,117,63,2
bl_gemini_20_flash_weather_024_26b50d,weather_024,gemini_20_flash,weather,easy,synthetic,,False,False,6.1000000000000005e-05,138,118,2
bl_gemini_20_flash_toolbench_syn_0038_471b76,toolbench_syn_0038,gemini_20_flash,weather,medium,toolbench_synthetic,,False,False,6.720000000000001e-05,120,138,2
bl_gemini_20_flash_weather_036_bb6521,weather_036,gemini_20_flash,weather,easy,synthetic,,False,True,6.220000000000001e-05,130,123,2
bl_gemini_20_flash_toolbench_syn_0060_7d1c21,toolbench_syn_0060,gemini_20_flash,calendar,hard,toolbench_synthetic,,False,True,4.53e-05,113,85,2
bl_gemini_20_flash_weather_099_2fa88a,weather_099,gemini_20_flash,weather,medium,synthetic,,False,True,6.42e-05,142,125,2
bl_gemini_20_flash_toolbench_syn_0016_429589,toolbench_syn_0016,gemini_20_flash,weather,easy,toolbench_synthetic,,False,False,5.640000000000001e-05,120,111,2
bl_gemini_20_flash_medical_096_92ea00,medical_096,gemini_20_flash,medical,medium,synthetic,,False,False,8.97e-05,133,191,2
bl_gemini_20_flash_calendar_086_a1a96d,calendar_086,gemini_20_flash,calendar,medium,synthetic,get_events,True,False,0.0001173,613,140,5
bl_gemini_20_flash_toolbench_syn_0021_dd5ae6,toolbench_syn_0021,gemini_20_flash,medical,hard,toolbench_synthetic,,False,False,3.3100000000000005e-05,107,56,2
bl_gemini_20_flash_halueval_0024_d8db76,halueval_0024,gemini_20_flash,knowledge,hard,halueval,,False,False,6.99e-05,215,121,2
bl_gemini_20_flash_calendar_051_c2f2d0,calendar_051,gemini_20_flash,calendar,medium,synthetic,,False,False,9.03e-05,151,188,2
bl_gemini_20_flash_medical_083_043820,medical_083,gemini_20_flash,medical,medium,synthetic,,False,False,6.090000000000001e-05,121,122,2
bl_gemini_20_flash_weather_041_482e63,weather_041,gemini_20_flash,weather,easy,synthetic,,False,True,5.82e-05,130,113,2
bl_gemini_20_flash_medical_075_754c27,medical_075,gemini_20_flash,medical,medium,synthetic,,False,False,5.780000000000001e-05,122,114,2
bl_gemini_20_flash_calendar_094_5f3248,calendar_094,gemini_20_flash,calendar,medium,synthetic,,False,False,9.43e-05,139,201,2
bl_gemini_20_flash_weather_064_3c5b1b,weather_064,gemini_20_flash,weather,medium,synthetic,,False,True,0.0001083,159,231,2
bl_gemini_20_flash_medical_036_a19ba2,medical_036,gemini_20_flash,medical,easy,synthetic,,False,True,3.58e-05,110,62,2
bl_gemini_20_flash_weather_023_8178c0,weather_023,gemini_20_flash,weather,easy,synthetic,,False,True,3.78e-05,122,64,2
bl_gemini_20_flash_halueval_0013_369344,halueval_0013,gemini_20_flash,knowledge,hard,halueval,,False,False,4.81e-05,209,68,2
bl_gemini_20_flash_toolbench_syn_0073_ce63c0,toolbench_syn_0073,gemini_20_flash,calendar,easy,toolbench_synthetic,get_events,False,True,0.0001094,390,176,5
bl_gemini_20_flash_calendar_036_4d5f63,calendar_036,gemini_20_flash,calendar,easy,synthetic,,False,True,4.17e-05,133,71,2
bl_gemini_20_flash_toolbench_syn_0009_50af6f,toolbench_syn_0009,gemini_20_flash,weather,easy,toolbench_synthetic,,False,False,3.56e-05,120,59,2
bl_gemini_20_flash_halueval_0033_4b3868,halueval_0033,gemini_20_flash,knowledge,medium,halueval,,False,False,4.89e-05,209,70,2
bl_gemini_20_flash_calendar_077_7bc740,calendar_077,gemini_20_flash,calendar,medium,synthetic,,False,True,8.840000000000001e-05,152,183,2
bl_gemini_20_flash_calendar_084_ec6837,calendar_084,gemini_20_flash,calendar,medium,synthetic,,False,False,8.230000000000001e-05,139,171,2
bl_gemini_20_flash_weather_050_071764,weather_050,gemini_20_flash,weather,easy,synthetic,,False,True,5.87e-05,123,116,2
bl_gemini_20_flash_halueval_0080_b281a4,halueval_0080,gemini_20_flash,knowledge,hard,halueval,,False,False,5.3500000000000006e-05,223,78,2
bl_gemini_20_flash_calendar_095_ff4ed0,calendar_095,gemini_20_flash,calendar,medium,synthetic,,False,True,8.840000000000001e-05,152,183,2
bl_gemini_20_flash_toolbench_syn_0090_f08971,toolbench_syn_0090,gemini_20_flash,medical,easy,toolbench_synthetic,,False,False,3.51e-05,111,60,2
bl_gemini_20_flash_halueval_0090_0a4e6f,halueval_0090,gemini_20_flash,knowledge,hard,halueval,search_knowledge,True,False,0.0001005,489,129,5
bl_gemini_20_flash_calendar_073_1b7727,calendar_073,gemini_20_flash,calendar,medium,synthetic,,False,True,8.760000000000002e-05,152,181,2
bl_gemini_20_flash_calendar_011_daaebe,calendar_011,gemini_20_flash,calendar,easy,synthetic,,False,True,5.2e-05,132,97,2
bl_gemini_20_flash_halueval_0064_423c9e,halueval_0064,gemini_20_flash,knowledge,hard,halueval,,False,False,4.98e-05,210,72,2
bl_gemini_20_flash_weather_080_e3e227,weather_080,gemini_20_flash,weather,medium,synthetic,,False,True,8.49e-05,141,177,2
bl_gemini_20_flash_calendar_075_834bc5,calendar_075,gemini_20_flash,calendar,medium,synthetic,,False,True,9.68e-05,152,204,2
bl_gemini_20_flash_halueval_0083_e4ed6e,halueval_0083,gemini_20_flash,knowledge,hard,halueval,,False,False,8.410000000000001e-05,241,150,2
bl_gemini_20_flash_halueval_0012_898a35,halueval_0012,gemini_20_flash,knowledge,hard,halueval,,False,False,4.53e-05,213,60,2
bl_gemini_20_flash_toolbench_syn_0057_06456a,toolbench_syn_0057,gemini_20_flash,calendar,medium,toolbench_synthetic,get_events,False,False,0.000121,458,188,5
bl_gemini_20_flash_weather_082_6f9a90,weather_082,gemini_20_flash,weather,medium,synthetic,,False,True,0.0001103,159,236,2
bl_gemini_20_flash_toolbench_syn_0088_801923,toolbench_syn_0088,gemini_20_flash,medical,easy,toolbench_synthetic,,False,False,3.24e-05,108,54,2
bl_gemini_20_flash_halueval_0045_f9e7af,halueval_0045,gemini_20_flash,knowledge,medium,halueval,,False,False,4.13e-05,209,51,2
bl_gemini_20_flash_weather_004_e1a7bd,weather_004,gemini_20_flash,weather,easy,synthetic,,False,True,6.18e-05,138,120,2
bl_gemini_20_flash_halueval_0014_378744,halueval_0014,gemini_20_flash,knowledge,hard,halueval,,False,False,5.96e-05,216,95,2
bl_gemini_20_flash_toolbench_syn_0001_0247c3,toolbench_syn_0001,gemini_20_flash,calendar,hard,toolbench_synthetic,,False,False,3.65e-05,117,62,2
bl_gemini_20_flash_calendar_043_80f962,calendar_043,gemini_20_flash,calendar,easy,synthetic,,False,True,5.31e-05,131,100,2
bl_gemini_20_flash_medical_030_d7a422,medical_030,gemini_20_flash,medical,easy,synthetic,,False,True,3.78e-05,110,67,2
bl_gemini_20_flash_medical_015_2449e0,medical_015,gemini_20_flash,medical,easy,synthetic,,False,True,3.78e-05,110,67,2
bl_gemini_20_flash_calendar_013_28f77f,calendar_013,gemini_20_flash,calendar,easy,synthetic,,False,True,6.82e-05,130,138,2
bl_gemini_20_flash_halueval_0086_aaab60,halueval_0086,gemini_20_flash,knowledge,medium,halueval,,False,False,3.8700000000000006e-05,211,44,2
bl_gemini_20_flash_toolbench_syn_0032_b10ed3,toolbench_syn_0032,gemini_20_flash,medical,medium,toolbench_synthetic,,False,False,3.51e-05,111,60,2
bl_gemini_20_flash_toolbench_syn_0066_26b037,toolbench_syn_0066,gemini_20_flash,medical,medium,toolbench_synthetic,,False,True,4.2e-05,112,77,2
bl_gemini_20_flash_calendar_002_0315de,calendar_002,gemini_20_flash,calendar,easy,synthetic,,False,True,3.65e-05,117,62,2
bl_gemini_20_flash_toolbench_syn_0059_9c6a7f,toolbench_syn_0059,gemini_20_flash,calendar,hard,toolbench_synthetic,get_events,False,True,0.0001016,424,148,5
bl_gemini_20_flash_medical_088_ed0eb2,medical_088,gemini_20_flash,medical,medium,synthetic,,False,False,7.64e-05,132,158,2
bl_gemini_20_flash_toolbench_syn_0008_d423ac,toolbench_syn_0008,gemini_20_flash,weather,hard,toolbench_synthetic,,False,False,4.0400000000000006e-05,120,71,2
bl_gemini_20_flash_weather_014_54eab4,weather_014,gemini_20_flash,weather,easy,synthetic,,False,True,6.34e-05,138,124,2
bl_gemini_20_flash_medical_059_d81a14,medical_059,gemini_20_flash,medical,medium,synthetic,,False,False,6.09e-05,125,121,2
bl_gemini_20_flash_calendar_020_f63963,calendar_020,gemini_20_flash,calendar,easy,synthetic,,False,True,3.33e-05,109,56,2
bl_gemini_20_flash_calendar_012_2de8d0,calendar_012,gemini_20_flash,calendar,easy,synthetic,,False,True,3.5300000000000004e-05,117,59,2
bl_gemini_20_flash_weather_048_8e67ea,weather_048,gemini_20_flash,weather,easy,synthetic,,False,True,4.5100000000000005e-05,123,82,2
bl_gemini_20_flash_weather_016_a9a4a6,weather_016,gemini_20_flash,weather,easy,synthetic,,False,True,5.83e-05,131,113,2
bl_gemini_20_flash_weather_017_e1cc86,weather_017,gemini_20_flash,weather,easy,synthetic,,False,True,5.06e-05,134,93,2
bl_gemini_20_flash_toolbench_syn_0002_56dd10,toolbench_syn_0002,gemini_20_flash,medical,hard,toolbench_synthetic,,False,False,3.3100000000000005e-05,107,56,2
bl_gemini_20_flash_medical_017_89b91a,medical_017,gemini_20_flash,medical,easy,synthetic,,False,True,4.34e-05,114,80,2
bl_gemini_20_flash_weather_045_7849da,weather_045,gemini_20_flash,weather,easy,synthetic,,False,True,5.31e-05,123,102,2
bl_gemini_20_flash_halueval_0056_5e7b3d,halueval_0056,gemini_20_flash,knowledge,hard,halueval,,False,False,5.610000000000001e-05,233,82,2
bl_gemini_20_flash_medical_080_d8f389,medical_080,gemini_20_flash,medical,medium,synthetic,,False,False,7.49e-05,133,154,2
bl_gemini_20_flash_halueval_0096_3d9769,halueval_0096,gemini_20_flash,knowledge,medium,halueval,,False,False,4.24e-05,220,51,2
bl_gemini_20_flash_toolbench_syn_0046_8679e1,toolbench_syn_0046,gemini_20_flash,calendar,easy,toolbench_synthetic,,False,True,5.5e-05,114,109,2
bl_gemini_20_flash_toolbench_syn_0077_c19958,toolbench_syn_0077,gemini_20_flash,weather,medium,toolbench_synthetic,,False,False,3.52e-05,120,58,2
bl_gemini_20_flash_weather_053_785e99,weather_053,gemini_20_flash,weather,medium,synthetic,,False,True,8.21e-05,141,170,2
